date, pm25, o3, no2, so2, co
2019/12/7, 32, 20, 11, , 2
2019/12/8, 21, 21, 6, 1, 2
2019/12/9, 18, 20, 8, , 2
2019/12/10, 28, 19, 10, , 2
2019/12/11, 39, 19, 12, , 2
2019/12/12, 40, 18, 12, , 2
2019/12/13, 35, 19, 12, , 3
2019/12/14, 30, 11, 13, , 3
2019/12/15, 51, 22, 7, , 2
2019/12/16, 21, 16, 17, 1, 4
2019/12/17, 36, 15, 20, , 3
2019/12/18, 62, 20, 15, , 2
2019/12/19, 31, 12, 28, , 3
2019/12/20, 41, 13, 25, , 3
2019/12/21, 43, 16, 20, , 3
2019/12/22, 54, 17, 16, 1, 3
2019/12/23, 78, 17, 17, , 3
2019/12/24, 61, 16, 14, , 2
2019/12/25, 15, 18, 13, , 2
2019/12/26, 56, 15, 9, , 2
2019/12/27, 39, 15, 18, , 3
2019/12/28, 65, 18, 12, , 2
2019/12/29, 44, 19, 10, , 
2019/12/30, 41, , , , 
2019/7/2, 17, 27, 16, 1, 2
2019/7/3, 51, 35, 17, , 2
2019/7/4, 42, 31, 20, , 3
2019/7/5, 55, 40, 16, , 3
2019/7/6, 59, 43, 12, , 2
2019/7/7, 57, , , , 1
2019/7/9, 63, 34, 19, , 2
2019/7/10, 53, 32, 23, , 3
2019/7/11, 48, 37, 11, , 2
2019/7/12, 47, 16, 7, , 2
2019/7/13, 27, 41, 13, , 3
2019/7/14, 36, 25, 4, , 2
2019/7/15, 23, 33, 10, 1, 2
2019/7/16, 24, 29, 12, 1, 2
2019/7/17, 37, 22, 14, , 2
2019/7/18, 33, 24, 13, , 1
2019/7/19, 27, 30, 13, , 2
2019/7/20, 38, 33, 10, , 2
2019/7/21, 43, 28, 7, , 2
2019/7/22, 31, 21, 13, , 2
2019/7/23, 31, 27, 12, , 2
2019/7/24, 37, 28, 9, , 2
2019/7/25, 25, 32, 16, , 3
2019/7/26, 40, 42, 16, 1, 3
2019/7/27, 62, 45, 11, 2, 3
2019/7/28, 52, 40, 12, , 2
2019/7/29, 47, 39, 16, , 3
2019/7/30, 56, 30, 11, 7, 3
2019/7/31, 36, 33, 9, , 2
2019/8/1, 26, 17, 12, , 2
2019/8/2, 27, 25, 19, , 2
2019/8/3, 38, 39, 15, 1, 2
2019/8/4, 33, 25, 6, , 2
2019/8/5, 30, 37, 12, 2, 2
2019/8/6, 36, 34, 14, , 2
2019/8/7, 47, 48, 15, , 2
2019/8/8, 44, 24, 15, , 3
2019/8/9, 32, 18, 9, , 2
2019/8/10, 24, 21, 7, , 2
2019/8/11, 16, 33, 10, , 2
2019/8/12, 21, 37, 16, , 3
2019/8/13, 37, 23, 20, , 3
2019/8/14, 51, 17, 9, , 2
2019/8/15, 26, 15, 9, , 2
2019/8/16, 21, 24, 15, , 2
2019/8/17, 22, 30, 16, , 2
2019/8/18, 40, 34, 12, , 3
2019/8/19, 35, 29, 10, , 2
2019/8/20, 34, 22, 19, , 3
2019/8/21, 29, 36, 13, , 2
2019/8/22, 34, 22, 7, , 2
2019/8/23, 32, 19, 7, , 2
2019/8/24, 18, 16, 5, , 2
2019/8/25, 15, 18, 7, , 5
2019/8/26, 15, 20, 11, , 1
2019/8/27, 25, 22, 5, , 2
2019/8/28, 17, 27, 10, , 2
2019/8/29, 37, 31, 8, , 2
2019/8/30, 20, 28, 7, , 3
2019/8/31, 33, 26, 9, , 2
2019/9/1, 20, 20, 9, , 2
2019/9/2, 15, 28, 7, , 2
2019/9/3, 31, 22, 10, , 2
2019/9/4, 27, 22, 7, , 2
2019/9/5, 36, 21, 12, , 2
2019/9/6, 28, 19, 14, , 3
2019/9/7, 27, 20, 12, , 2
2019/9/8, 28, 18, 5, , 2
2019/9/9, 11, 15, 12, , 2
2019/9/10, 16, 12, 21, , 3
2019/9/11, 19, 38, 14, , 3
2019/9/12, 45, 12, 10, , 2
2019/9/13, 28, 16, 10, , 2
2019/9/14, 18, 25, 5, , 2
2019/9/15, 26, 17, 14, , 3
2019/9/16, 28, 17, 10, , 2
2019/9/17, 32, 21, 16, , 3
2019/9/18, 34, 21, 20, , 4
2019/9/19, 38, 26, 13, , 2
2019/9/20, 29, 27, 21, 1, 4
2019/9/21, 35, 31, 21, , 5
2019/9/22, 43, 41, 6, , 2
2019/9/23, 52, 32, 7, , 2
