date, pm25, pm10, o3, no2, co, so2
16-04-21,27, ,25,3, , 
16-04-22,27, ,26,3, , 
16-04-23,20, ,27,5, , 
16-04-24,27, ,27,2, , 
16-04-25,97, ,23,1, , 
16-04-26,16, ,29, , , 
16-04-27,18, ,30,3, , 
16-04-28,25, ,28, , , 
16-04-29,21, ,29,1, , 
16-04-30,39, ,29,3, , 
16-05-01,33, ,30,3, , 
16-05-02,29, ,26,5, , 
16-05-03,27, ,25,5, , 
16-05-04,26, ,25,4, , 
16-05-05,27, ,26,4, , 
16-05-06,22, ,26,5, , 
16-05-07,24, ,30,1, , 
16-05-08,25, ,30,5, , 
16-05-09,29, ,28,5, , 
16-05-10,32, ,26,7, , 
16-05-11,33, ,25,1, , 
16-05-13,32, ,22,3, , 
16-05-14,27, ,27,4, , 
16-05-15,27, ,29,2, , 
16-05-16,31, ,28,6, , 
16-05-17,46, ,28,7, , 
16-05-18,44, ,26,4, , 
16-05-19,113, ,16,11, , 
16-05-20,40, ,32,5, , 
16-05-21,55, ,34, , , 
16-05-22,37, ,33,1, , 
16-05-23,33, ,29,2, , 
16-05-24,22, ,35, , , 
16-05-25,30, ,33,4, , 
16-05-26,27, ,33,15, , 
16-05-27,26, ,28,5, , 
16-05-28,27, ,32,2, , 
16-05-29,29, ,28,4, , 
16-05-30,32, ,29,11, , 
16-05-31,23, ,30,7, , 
16-06-01,29, ,25,4, , 
16-06-02,34, ,24,2, , 
16-06-03,22, ,26,1, , 
16-06-04,23, ,34,10, , 
16-06-05,29, ,27,10, , 
16-06-06,36, ,35,1, , 
16-06-07,32, ,33,2, , 
16-06-08,21, ,32,8, , 
16-06-09,30, ,27,3, , 
16-06-10,33, ,25,3, , 
16-06-11,22, ,23,4, , 
16-06-12,16, ,28,3, , 
16-06-13,17, ,35,4, , 
16-06-14,19, ,23,5, , 
16-06-15,32, ,22,7, , 
16-06-16,33, ,24,7, , 
16-06-17,30, ,23,5, , 
16-06-18,25, ,23,3, , 
16-06-19,16, ,29,1, , 
16-06-20,17, ,33, , , 
16-06-21,28, ,32,6, , 
16-06-22,23, ,34,2, , 
16-06-23,25, ,29,9, , 
16-06-24,28, ,28,5, , 
16-06-25,29, ,32,3, , 
16-06-26,26, ,29,6, , 
16-06-27,36, ,26,5, , 
16-06-28,25, ,30,2, , 
16-06-29,20, ,34,8, , 
16-06-30,27, ,34,7, , 
16-07-01,32, ,27,8, , 
16-01-05,52, ,27,1, , 
16-01-06,55, ,35,1, , 
16-01-07,57, ,51,2, , 
16-01-08,50, ,42,2, , 
16-01-09,46, ,34,3, , 
16-01-10,52, ,26,1, , 
16-01-11,50, ,31,1, , 
16-01-12,40, ,19, , , 
16-01-13,28, ,29,1, , 
16-01-14,29, ,25,2, , 
16-01-15,29, ,49,2, , 
16-01-16,34, ,38,2, , 
16-01-17,36, ,31,3, , 
16-01-18,42, ,14,2, , 
16-01-19,46, , , , , 
15-10-02,29, ,33,5, , 
15-10-03,38, ,28,1, , 
15-10-04,39, ,26,1, , 
15-10-05,32, ,31, , , 
15-10-06,31, ,30,4, , 
15-10-07,30, ,35,3, , 
15-10-08,32, ,36,5, , 
15-10-09,42, ,47,5, , 
15-10-10,44, ,33,4, , 
15-10-11,63, ,47,3, , 
15-10-12,67, ,59,3, , 
15-10-13,44, ,36,2, , 
15-10-14,50, ,28, , , 
15-10-15,33, ,29, , , 
15-10-16,23, ,31,4, , 
15-10-17,21, ,37,2, , 
15-10-18,27, ,31, , , 
15-10-19,31, ,30,3, , 
15-10-20,24, ,41,2, , 
15-10-21,27, ,51,4, , 
15-10-22,34, ,30, , , 
15-10-23,38, ,28, , , 
15-10-24,29, ,31,1, , 
15-10-25,31, ,32,2, , 
15-10-26,26, ,35,3, , 
15-10-27,22, ,35,1, , 
15-10-28,33, ,37,2, , 
15-10-29,37, ,29,2, , 
15-10-30,63, ,29,1, , 
15-10-31,46, ,23,3, , 
15-11-01,28, ,29,3, , 
15-11-02,25, ,30,1, , 
15-11-03,24, ,38,3, , 
15-11-04,34, ,40,3, , 
15-11-05,64, ,29,4, , 
15-11-06,34, ,31,2, , 
15-11-07,31, ,29,1, , 
15-11-08,45, ,29,2, , 
15-11-09,35, ,33,2, , 
15-11-10,50, ,40,1, , 
15-11-11,36, ,31,4, , 
15-11-12,59, ,36,3, , 
15-11-13,48, ,47,1, , 
15-11-14,47, , , , , 
15-11-17,51, ,28,7, , 
15-11-18,54, ,28, , , 
15-11-19,27, ,27,3, , 
15-11-20,26, ,34,2, , 
15-11-21,30, ,34,2, , 
15-11-22,53, ,44,1, , 
15-11-23,50, ,37,1, , 
15-11-24,78, ,29,2, , 
15-11-25,52, ,31,2, , 
15-11-26,34, ,34,2, , 
15-11-27,30, ,40,2, , 
15-11-28,41, ,31,2, , 
15-11-29,58, ,27,3, , 
15-11-30,66, ,27,2, , 
15-12-01,27, ,29,5, , 
15-12-02,29, ,37,1, , 
15-12-03,36, ,28,2, , 
15-12-04,60, ,24,2, , 
15-12-05,45, ,21,2, , 
15-12-06,23, ,24, , , 
15-12-07,23, ,22,2, , 
15-12-08,30, ,28,3, , 
15-12-09,23, ,23,2, , 
15-12-10,23, ,30,2, , 
15-12-11,28, ,19,2, , 
15-12-12,31, , , , , 
15-12-16,29, ,23, , , 
15-12-17,28, ,28,2, , 
15-12-18,32, ,26,3, , 
15-12-19,32, ,21,6, , 
15-12-20,35, ,30,2, , 
15-12-21,34, ,41,1, , 
15-12-22,37, ,27,3, , 
15-12-23,47, ,46,1, , 
15-12-24,44, ,22, , , 
15-12-25,46, ,24,3, , 
15-12-26,40, ,31,2, , 
15-12-27,41, ,32,3, , 
15-12-28,40, ,53,3, , 
15-12-29,39, ,27,4, , 
15-12-30,48, ,22,3, , 
15-12-31,44, , , , , 
15-07-02,29, ,20,3, , 
15-07-03,28, ,21,5, , 
15-07-04,22, ,27,2, , 
15-07-05,24, ,27,3, , 
15-07-06,18, ,23,2, , 
15-07-07,16, ,31,2, , 
15-07-08,18, ,30,7, , 
15-07-09,24, ,32,7, , 
15-07-10,30, ,28,5, , 
15-07-11,25, ,26,5, , 
15-07-12,37, ,25,3, , 
15-07-13,38, ,21,4, , 
15-07-14,27, ,21,4, , 
15-07-15,21, ,23,2, , 
15-07-16,17, ,24,2, , 
15-07-17,15, ,23,3, , 
15-07-18,17, ,21,3, , 
15-07-19,27, ,21,3, , 
15-07-20,23, ,33,1, , 
15-07-21,22, ,32,7, , 
15-07-22,29, ,31,2, , 
15-07-23,23, ,33,7, , 
15-07-24,24, ,31,8, , 
15-07-25,36, ,33,4, , 
15-07-26,34, ,27,5, , 
15-07-27,37, ,24,5, , 
15-07-28,26, ,24,3, , 
15-07-29,22, ,22,3, , 
15-07-30,20, ,27,3, , 
15-07-31,21, ,32,3, , 
15-08-01,15, ,30,2, , 
15-08-02,22, ,27,3, , 
15-08-03,25, ,24,4, , 
15-08-04,23, ,24,5, , 
15-08-05,22, ,23,3, , 
15-08-06,20, ,21,3, , 
15-08-07,16, ,29,2, , 
15-08-08,20, ,34, , , 
15-08-09,22, ,32,2, , 
15-08-10,24, ,34,1, , 
15-08-11,23, ,34,5, , 
15-08-12,39, ,28,8, , 
15-08-13,37, ,29,4, , 
15-08-14,37, ,25,7, , 
15-08-15,41, ,26,5, , 
15-08-16,29, ,25,2, , 
15-08-17,34, ,27,2, , 
15-08-18,22, ,34,2, , 
15-08-19,22, ,33,1, , 
15-08-20,20, ,34, , , 
15-08-21,29, ,34,2, , 
15-08-22,23, ,31,3, , 
15-08-23,23, ,30,3, , 
15-08-24,25, ,25,2, , 
15-08-25,18, ,25,2, , 
15-08-26,16, ,25,4, , 
15-08-27,18, ,28,3, , 
15-08-28,21, ,25,4, , 
15-08-29,27, ,28,1, , 
15-08-30,28, ,33, , , 
15-08-31,29, ,34,2, , 
15-09-01,20, ,33,5, , 
15-09-02,24, ,27,3, , 
15-09-03,21, ,32,5, , 
15-09-04,18, ,31,6, , 
15-09-05,51, ,33, , , 
15-09-06,25, ,34,2, , 
15-09-07,32, ,30,6, , 
15-09-08,30, ,27,4, , 
15-09-09,31, ,30,2, , 
15-09-10,25, ,33,1, , 
15-09-11,37, ,31,2, , 
15-09-12,32, ,33,1, , 
15-09-13,27, ,32,2, , 
15-09-14,24, ,30,3, , 
15-09-15,23, ,32,2, , 
15-09-16,22, ,33,4, , 
15-09-17,18, ,34,5, , 
15-09-18,24, ,33,8, , 
15-09-19,69, ,33,1, , 
15-09-20,33, ,32,2, , 
15-09-21,32, ,28,3, , 
15-09-22,28, ,26,3, , 
15-09-23,21, ,29,5, , 
15-09-24,19, ,28,2, , 
15-09-25,23, ,35,3, , 
15-09-26,27, ,39,3, , 
15-09-27,43, ,32,3, , 
15-09-28,36, ,31,1, , 
15-09-29,34, ,33, , , 
15-09-30,46, ,25,3, , 
15-10-01,33, ,35,7, , 
15-04-02,29, ,36,3, , 
15-04-03,32, ,34,3, , 
15-04-04,37, ,34,4, , 
15-04-05,34, ,29,3, , 
15-04-06,36, ,22,3, , 
15-04-07,28, ,17,2, , 
15-04-08,23, ,17,3, , 
15-04-09,22, ,13,4, , 
15-04-10,22, ,29,1, , 
15-04-11,24, ,29, , , 
15-04-12,27, ,22, , , 
15-04-13,27, ,23,4, , 
15-04-14,22, ,23,4, , 
15-04-15,22, ,24,4, , 
15-04-16,25, ,27,4, , 
15-04-17,35, ,31,4, , 
15-04-18,44, ,35,3, , 
15-04-19,45, ,32,3, , 
15-04-20,60, ,32,4, , 
15-04-21,56, ,35,4, , 
15-04-22,63, ,35,7, , 
15-04-23,51, ,34,7, , 
15-04-24,60, ,27,2, , 
15-04-25,38, ,25,2, , 
15-04-26,21, ,25,2, , 
15-04-27,20, ,24,3, , 
15-04-28,24, ,22,6, , 
15-04-29,23, ,17,5, , 
15-04-30,44, ,23,4, , 
15-05-01,32, ,37,5, , 
15-05-02,28, ,32,2, , 
15-05-03,41, ,26,3, , 
15-05-04,39, ,29,4, , 
15-05-05,33, ,27,4, , 
15-05-06,30, ,29,5, , 
15-05-07,33, ,31,4, , 
15-05-08,43, ,30,6, , 
15-05-09,45, ,27,4, , 
15-05-10,51, ,28,5, , 
15-05-11,45, ,27,3, , 
15-05-12,53, ,22,3, , 
15-05-13,29, ,22,3, , 
15-05-14,24, ,22,2, , 
15-05-15,36, ,21,3, , 
15-05-16,23, ,19,2, , 
15-05-17,38, ,32, , , 
15-05-18,26, ,28,4, , 
15-05-19,33, ,22,4, , 
15-05-20,22, ,26,3, , 
15-05-21,15, ,22,4, , 
15-05-22,13, ,25,4, , 
15-05-23,19, ,15,9, , 
15-05-24,33, ,23,5, , 
15-05-25,27, ,30,6, , 
15-05-26,32, ,27,8, , 
15-05-27,30, ,27,6, , 
15-05-28,28, ,26,9, , 
15-05-29,39, ,24,6, , 
15-05-30,32, ,25,6, , 
15-05-31,28, ,26,8, , 
15-06-01,47, ,24,3, , 
15-06-02,29, ,33,1, , 
15-06-03,29, ,28,4, , 
15-06-04,39, ,23,6, , 
15-06-05,29, ,26,7, , 
15-06-06,37, ,29,4, , 
15-06-07,35, ,28,4, , 
15-06-08,23, ,27,6, , 
15-06-09,34, ,24,2, , 
15-06-10,35, ,23,5, , 
15-06-11,27, ,23,5, , 
15-06-12,38, ,30,6, , 
15-06-13,36, ,27,5, , 
15-06-14,25, ,29,7, , 
15-06-15,24, ,27,5, , 
15-06-16,33, ,24,3, , 
15-06-17,26, ,22,2, , 
15-06-18,16, ,21,4, , 
15-06-19,9, ,25,2, , 
15-06-20,21, ,28,1, , 
15-06-21,21, ,33, , , 
15-06-22,26, ,33,7, , 
15-06-23,36, ,27,7, , 
15-06-24,31, ,24,6, , 
15-06-25,23, ,23,6, , 
15-06-26,23, ,24,5, , 
15-06-27,30, ,23,4, , 
15-06-28,27, ,22,4, , 
15-06-29,23, ,25,6, , 
15-06-30,20, ,22,5, , 
15-07-01,27, ,18,5, , 
15-01-02,20, ,17,4, , 
15-01-03,30, ,25,2, , 
15-01-04,45, ,29,2, , 
15-01-05,41, ,52,2, , 
15-01-06,46, ,20,1, , 
15-01-07,56, ,25,3, , 
15-01-08,48, ,26,1, , 
15-01-09,33, ,23,1, , 
15-01-10,24, ,25,2, , 
15-01-11,27, ,33,2, , 
15-01-12,48, ,47,3, , 
15-01-13,46, ,44,4, , 
15-01-14,37, ,29,2, , 
15-01-15,39, ,24,1, , 
15-01-16,34, ,30,2, , 
15-01-17,30, ,34,3, , 
15-01-18,36, ,16,1, , 
15-01-19,44, ,14, , , 
15-01-20,26, ,28,3, , 
15-01-21,26, ,18,2, , 
15-01-22,31, ,23,3, , 
15-01-23,46, ,27,4, , 
15-01-24,40, ,26,2, , 
15-01-25,35, ,26,4, , 
15-01-26,32, ,30,2, , 
15-01-27,31, ,47,2, , 
15-01-28,47, ,52,2, , 
15-01-29,51, ,28,1, , 
15-01-30,54, ,27,4, , 
15-01-31,44, ,26,1, , 
15-02-01,31, ,24,1, , 
15-02-02,33, ,29,3, , 
15-02-03,41, ,37,5, , 
15-02-04,22, ,33,1, , 
15-02-05,28, ,25,2, , 
15-02-06,33, ,32,3, , 
15-02-07,80, ,31,2, , 
15-02-08,69, ,13,1, , 
15-02-09,64, ,30, , , 
15-02-10,67, ,52,2, , 
15-02-11,91, ,37,1, , 
15-02-12,59, ,35,2, , 
15-02-13,54, ,20,2, , 
15-02-14,55, ,20,4, , 
15-02-15,28, ,29,2, , 
15-02-16,28, ,35,2, , 
15-02-17,37, ,35,3, , 
15-02-18,48, ,24,4, , 
15-02-19,52, ,38,3, , 
15-02-20,48, ,30,4, , 
15-02-21,31, ,23,2, , 
15-02-22,20, ,19,1, , 
15-02-23,20, ,21,4, , 
15-02-24,25, ,28,2, , 
15-02-25,44, ,40,3, , 
15-02-26,52, ,29,2, , 
15-02-27,46, ,19,1, , 
15-02-28,32, ,29,1, , 
15-03-01,16, ,28,1, , 
15-03-02,28, ,24,1, , 
15-03-03,24, ,31,2, , 
15-03-04,21, ,35,2, , 
15-03-05,26, ,32,2, , 
