State,County,Good Days,Moderate Days,Unhealthy for Sensitive Groups Days,Unhealthy Days,Very Unhealthy Days,Hazardous Days,COVID Deaths (Normalized by Population),COVID Cases (Normalized by Population)
Indiana,Monroe,0.855851765,0.143666539,0.0,0.000481696,0.0,0.0,0.00018863983938665105,0.0017247071029636667
Indiana,Pike,0.9726605,0.018363182,0.008029348,0.00094697,0.0,0.0,0.0,0.0006457341189765113
Indiana,Porter,0.707874841,0.274782294,0.016429623,0.000913242,0.0,0.0,0.00021715016814465726,0.004020212572407843
Indiana,Vigo,0.596965841,0.378386606,0.023278938,0.001368615,0.0,0.0,7.473981202937274e-05,0.0020927147368224367
Indiana,Warrick,0.825123734,0.165002616,0.009187778,0.000685871,0.0,0.0,0.0004603320740340963,0.003190577478650116
Iowa,Muscatine,0.6804775809999999,0.286645707,0.029680365,0.003196347,0.0,0.0,0.0010313144571535721,0.014532158259891244
Iowa,Palo Alto,0.7862573209999999,0.211005449,0.002281857,0.000455373,0.0,0.0,0.0,0.0034886338059869453
Iowa,Scott,0.426777204,0.566375976,0.006390199,0.000456621,0.0,0.0,5.7822519558467236e-05,0.003839415298682225
Iowa,Van Buren,0.759457261,0.23917537100000005,0.000455373,0.000911994,0.0,0.0,0.0,0.0026973310618966496
Kansas,Ford,0.975737871,0.022875568,0.000928685,0.000457875,0.0,0.0,0.00023796067699812602,0.05791367976441893
Kansas,Sedgwick,0.7877410979999999,0.209977044,0.001826484,0.000455373,0.0,0.0,5.4259149449075846e-05,0.002476542606997105
Kansas,Shawnee,0.838994392,0.159635745,0.000913242,0.000456621,0.0,0.0,6.784452296819788e-05,0.0037879858657243813
Kansas,Trego,0.88427049,0.114349464,0.00092217,0.000457875,0.0,0.0,0.0,0.00035676061362825543
Kansas,Wyandotte,0.693206186,0.301767199,0.004569994,0.000456621,0.0,0.0,0.0005017258159089399,0.014114816628281618
Kentucky,Bell,0.8976368840000001,0.101085977,0.00063857,0.00063857,0.0,0.0,0.0,0.00030731407498463427
Kentucky,Boone,0.914497993,0.083447205,0.001368931,0.000685871,0.0,0.0,0.00017218017532433504,0.004506628936749987
Kentucky,Daviess,0.714259309,0.282535352,0.002749965,0.000455373,0.0,0.0,7.880919309237423e-05,0.004285249874397849
Kentucky,Jefferson,0.550414203,0.418097662,0.027836415,0.00365172,0.0,0.0,0.000255622054966567,0.005141133370807179
Kentucky,Perry,0.822108556,0.176944474,0.000473485,0.000473485,0.0,0.0,3.882288997592981e-05,0.002212904728627999
Louisiana,Ascension,0.903180341,0.08902816,0.007333624,0.000457875,0.0,0.0,0.0004581213863700989,0.009581055890809136
Louisiana,Calcasieu,0.660432418,0.331806273,0.007304688,0.000456621,0.0,0.0,0.00029001749936097835,0.008498987396527656
Louisiana,East Baton Rouge,0.62713776,0.353233775,0.018715223,0.000913242,0.0,0.0,0.0006158265141719632,0.012157460704132856
Louisiana,Iberville,0.838878908,0.149708062,0.010956409,0.000456621,0.0,0.0,0.0013226292639414352,0.022115591645904462
Louisiana,St. James,0.948541225,0.050008095,0.000966184,0.000484496,0.0,0.0,0.0013746681835419036,0.017775881683731513
Maine,Aroostook,0.839778427,0.157483095,0.000913242,0.001825236,0.0,0.0,1.4913131011855938e-05,0.00035791514428454253
Maine,Hancock,0.928797066,0.064812735,0.005933578,0.000456621,0.0,0.0,1.81861167184971e-05,0.0002909778674959536
Maine,York,0.922115323,0.071127728,0.006012902,0.000744048,0.0,0.0,5.297605000939121e-05,0.0025476664049970863
Maryland,Cecil,0.742668496,0.239612104,0.016326635,0.001392765,0.0,0.0,0.00029167274318214965,0.0046667638909143935
Maryland,Dorchester,0.8014484620000001,0.194445692,0.003649225,0.000456621,0.0,0.0,0.00015659745059350434,0.005888064142315764
Maryland,Harford,0.7184350840000001,0.258776319,0.020927697,0.001860901,0.0,0.0,0.0002427174964081725,0.004411977716967911
Maryland,Prince George's,0.685074981,0.296671408,0.01734037,0.000913242,0.0,0.0,0.0007544040812600968,0.020504175065735427
Massachusetts,Bristol,0.8547842590000001,0.13380520699999998,0.010953914,0.000456621,0.0,0.0,0.0010173083965981206,0.014571394703273257
Massachusetts,Dukes,0.941762073,0.050874418,0.006435004,0.000928505,0.0,0.0,0.0,0.002423263327948304
Massachusetts,Hampden,0.8009215909999999,0.192236579,0.006386456,0.000455373,0.0,0.0,0.001423756143164684,0.014561337301553269
Massachusetts,Hampshire,0.8783143390000001,0.115693792,0.005527616,0.000464253,0.0,0.0,0.0006963874898961638,0.00600012435490891
Massachusetts,Norfolk,0.919314631,0.075185377,0.005043371,0.000456621,0.0,0.0,0.0013158360157051394,0.012994234374447314
Michigan,Allegan,0.780359525,0.196335937,0.022610094,0.0006944439999999999,0.0,0.0,5.9281340774553064e-05,0.0026845978607904744
Michigan,Kent,0.767547944,0.224239095,0.00775634,0.000456621,0.0,0.0,0.0002039713526801684,0.007527151783607705
