SUMLEV,STATE,COUNTY,STNAME,CTYNAME,YEAR,AGEGRP,TOT_POP,TOT_MALE,TOT_FEMALE,BA_MALE,BA_FEMALE,H_MALE,H_FEMALE
50,1,15,Alabama,Calhoun County,12,16,3788,1655,2133,189,251,21,22
50,1,15,Alabama,Calhoun County,12,17,2334,906,1428,98,195,15,15
50,1,15,Alabama,Calhoun County,12,18,2125,639,1486,59,205,17,15
50,1,17,Alabama,Chambers County,12,0,33254,15895,17359,6221,7144,472,399
50,1,17,Alabama,Chambers County,12,1,1882,964,918,423,400,86,76
50,1,17,Alabama,Chambers County,12,2,1935,953,982,404,425,55,75
50,1,17,Alabama,Chambers County,12,3,1957,996,961,475,454,50,37
50,1,17,Alabama,Chambers County,12,4,1818,975,843,430,370,31,34
50,1,17,Alabama,Chambers County,12,5,1883,960,923,389,429,23,11
50,1,17,Alabama,Chambers County,12,6,2371,1171,1200,523,571,23,21
50,1,17,Alabama,Chambers County,12,7,1857,888,969,378,440,44,19
50,1,17,Alabama,Chambers County,12,8,1791,849,942,350,444,30,28
50,1,17,Alabama,Chambers County,12,9,1855,879,976,362,433,32,21
50,1,17,Alabama,Chambers County,12,10,2149,1014,1135,366,467,23,20
50,1,17,Alabama,Chambers County,12,11,2196,1067,1129,421,475,22,12
50,1,17,Alabama,Chambers County,12,12,2458,1193,1265,462,478,10,13
50,1,17,Alabama,Chambers County,12,13,2387,1122,1265,420,506,19,8
50,1,17,Alabama,Chambers County,12,14,2119,984,1135,354,406,5,4
50,1,17,Alabama,Chambers County,12,15,1792,808,984,210,307,9,4
50,1,17,Alabama,Chambers County,12,16,1293,551,742,136,236,5,7
50,1,17,Alabama,Chambers County,12,17,743,309,434,76,135,1,3
50,1,17,Alabama,Chambers County,12,18,768,212,556,42,168,4,6
50,1,19,Alabama,Cherokee County,12,0,26196,12926,13270,558,515,229,220
50,1,19,Alabama,Cherokee County,12,1,1213,583,630,25,30,17,15
50,1,19,Alabama,Cherokee County,12,2,1324,701,623,20,20,35,25
50,1,19,Alabama,Cherokee County,12,3,1489,761,728,21,33,24,22
50,1,19,Alabama,Cherokee County,12,4,1473,720,753,44,35,13,39
50,1,19,Alabama,Cherokee County,12,5,1299,658,641,42,36,9,21
50,1,19,Alabama,Cherokee County,12,6,1521,802,719,53,17,17,14
50,1,19,Alabama,Cherokee County,12,7,1289,628,661,40,19,22,12
50,1,19,Alabama,Cherokee County,12,8,1278,617,661,35,26,17,15
50,1,19,Alabama,Cherokee County,12,9,1418,712,706,20,21,18,9
