County,State,Land Area
"Collier, FL",Florida,1998.32
"Columbia, FL",Florida,797.57
"DeSoto, FL",Florida,637.06
"Dixie, FL",Florida,705.05
"Duval, FL",Florida,762.19
"Escambia, FL",Florida,656.46
"Flagler, FL",Florida,485.46
"Franklin, FL",Florida,534.73
"Gadsden, FL",Florida,516.33
"Gilchrist, FL",Florida,349.68
"Glades, FL",Florida,806.01
"Gulf, FL",Florida,564.01
"Hamilton, FL",Florida,513.79
"Hardee, FL",Florida,637.78
"Hendry, FL",Florida,1152.75
"Hernando, FL",Florida,472.54
"Highlands, FL",Florida,1016.62
"Hillsborough, FL",Florida,1020.21
"Holmes, FL",Florida,478.78
"Indian River, FL",Florida,502.87
"Jackson, FL",Florida,917.76
"Jefferson, FL",Florida,598.1
"Lafayette, FL",Florida,543.41
"Lake, FL",Florida,938.38
"Lee, FL",Florida,784.51
"Leon, FL",Florida,666.85
"Levy, FL",Florida,1118.21
"Liberty, FL",Florida,835.56
"Madison, FL",Florida,695.95
"Manatee, FL",Florida,742.93
"Marion, FL",Florida,1584.55
"Martin, FL",Florida,543.46
"Miami-Dade, FL",Florida,1897.72
"Monroe, FL",Florida,983.28
"Nassau, FL",Florida,648.64
"Okaloosa, FL",Florida,930.25
"Okeechobee, FL",Florida,768.91
"Orange, FL",Florida,903.43
"Osceola, FL",Florida,1327.45
"Palm Beach, FL",Florida,1969.76
"Pasco, FL",Florida,746.89
"Pinellas, FL",Florida,273.8
"Polk, FL",Florida,1797.84
"Putnam, FL",Florida,727.62
"St. Johns, FL",Florida,600.66
"St. Lucie, FL",Florida,571.93
"Santa Rosa, FL",Florida,1011.61
"Sarasota, FL",Florida,555.87
"Seminole, FL",Florida,309.22
"Sumter, FL",Florida,546.93
"Suwannee, FL",Florida,688.55
"Taylor, FL",Florida,1043.31
"Union, FL",Florida,243.56
"Volusia, FL",Florida,1101.03
"Wakulla, FL",Florida,606.42
"Walton, FL",Florida,1037.63
"Washington, FL",Florida,582.8
"Appling, GA",Georgia,507.08
"Atkinson, GA",Georgia,339.38
"Bacon, GA",Georgia,258.58
"Baker, GA",Georgia,341.94
"Baldwin, GA",Georgia,257.84
