SUMLEV,STATE,COUNTY,STNAME,CTYNAME,YEAR,AGEGRP,TOT_POP,TOT_MALE,TOT_FEMALE,BA_MALE,BA_FEMALE,H_MALE,H_FEMALE
50.0,1.0,69.0,Alabama,Houston County,12.0,16.0,3502.0,1519.0,1983.0,230.0,313.0,28.0,27.0
50.0,1.0,69.0,Alabama,Houston County,12.0,17.0,2353.0,939.0,1414.0,134.0,223.0,5.0,19.0
50.0,1.0,69.0,Alabama,Houston County,12.0,18.0,2120.0,712.0,1408.0,104.0,230.0,7.0,19.0
50.0,1.0,71.0,Alabama,Jackson County,12.0,0.0,51626.0,25367.0,26259.0,893.0,910.0,832.0,752.0
50.0,1.0,71.0,Alabama,Jackson County,12.0,15.0,2859.0,1291.0,1568.0,32.0,46.0,10.0,8.0
50.0,1.0,71.0,Alabama,Jackson County,12.0,16.0,2039.0,935.0,1104.0,17.0,29.0,5.0,3.0
50.0,1.0,71.0,Alabama,Jackson County,12.0,17.0,1321.0,551.0,770.0,10.0,32.0,2.0,8.0
50.0,1.0,71.0,Alabama,Jackson County,12.0,18.0,996.0,339.0,657.0,14.0,20.0,7.0,6.0
50.0,1.0,73.0,Alabama,Jefferson County,12.0,0.0,658573.0,311232.0,347341.0,130550.0,155711.0,14247.0,12626.0
50.0,1.0,73.0,Alabama,Jefferson County,12.0,15.0,27095.0,12044.0,15051.0,4206.0,5668.0,112.0,123.0
50.0,1.0,73.0,Alabama,Jefferson County,12.0,16.0,18020.0,7442.0,10578.0,2233.0,3584.0,62.0,71.0
50.0,1.0,73.0,Alabama,Jefferson County,12.0,17.0,12222.0,4592.0,7630.0,1292.0,2455.0,20.0,74.0
50.0,1.0,73.0,Alabama,Jefferson County,12.0,18.0,13410.0,4228.0,9182.0,1118.0,2779.0,49.0,100.0
50.0,1.0,75.0,Alabama,Lamar County,12.0,0.0,13805.0,6760.0,7045.0,673.0,753.0,145.0,118.0
50.0,1.0,75.0,Alabama,Lamar County,12.0,15.0,803.0,373.0,430.0,30.0,29.0,2.0,2.0
50.0,1.0,75.0,Alabama,Lamar County,12.0,16.0,605.0,280.0,325.0,24.0,18.0,2.0,3.0
50.0,1.0,75.0,Alabama,Lamar County,12.0,17.0,450.0,183.0,267.0,8.0,30.0,3.0,2.0
50.0,1.0,75.0,Alabama,Lamar County,12.0,18.0,359.0,113.0,246.0,4.0,22.0,2.0,3.0
50.0,1.0,77.0,Alabama,Lauderdale County,12.0,0.0,92729.0,44490.0,48239.0,4273.0,5016.0,1313.0,1339.0
50.0,1.0,77.0,Alabama,Lauderdale County,12.0,15.0,5084.0,2295.0,2789.0,147.0,207.0,13.0,20.0
50.0,1.0,77.0,Alabama,Lauderdale County,12.0,16.0,3634.0,1568.0,2066.0,81.0,140.0,3.0,8.0
50.0,1.0,77.0,Alabama,Lauderdale County,12.0,17.0,2347.0,945.0,1402.0,47.0,74.0,11.0,17.0
50.0,1.0,77.0,Alabama,Lauderdale County,12.0,18.0,2132.0,726.0,1406.0,24.0,82.0,8.0,11.0
50.0,1.0,79.0,Alabama,Lawrence County,12.0,0.0,32924.0,16034.0,16890.0,1686.0,1896.0,403.0,376.0
50.0,1.0,79.0,Alabama,Lawrence County,12.0,15.0,1737.0,804.0,933.0,85.0,119.0,3.0,4.0
50.0,1.0,79.0,Alabama,Lawrence County,12.0,16.0,1268.0,569.0,699.0,58.0,89.0,2.0,3.0
50.0,1.0,79.0,Alabama,Lawrence County,12.0,17.0,735.0,327.0,408.0,32.0,43.0,2.0,2.0
50.0,1.0,79.0,Alabama,Lawrence County,12.0,18.0,586.0,196.0,390.0,19.0,42.0,1.0,7.0
50.0,1.0,81.0,Alabama,Lee County,12.0,0.0,164542.0,80840.0,83702.0,17413.0,20325.0,3217.0,2874.0
50.0,1.0,81.0,Alabama,Lee County,12.0,15.0,5651.0,2644.0,3007.0,431.0,636.0,35.0,38.0
50.0,1.0,81.0,Alabama,Lee County,12.0,16.0,3625.0,1634.0,1991.0,244.0,375.0,23.0,22.0
50.0,1.0,81.0,Alabama,Lee County,12.0,17.0,2251.0,989.0,1262.0,129.0,246.0,16.0,17.0
50.0,1.0,81.0,Alabama,Lee County,12.0,18.0,1858.0,667.0,1191.0,64.0,212.0,13.0,13.0
50.0,1.0,83.0,Alabama,Limestone County,12.0,0.0,98915.0,49444.0,49471.0,7118.0,6644.0,3133.0,3016.0
50.0,1.0,83.0,Alabama,Limestone County,12.0,15.0,4157.0,1890.0,2267.0,171.0,245.0,29.0,21.0
50.0,1.0,83.0,Alabama,Limestone County,12.0,16.0,2815.0,1279.0,1536.0,100.0,137.0,17.0,16.0
50.0,1.0,83.0,Alabama,Limestone County,12.0,17.0,1740.0,731.0,1009.0,43.0,81.0,8.0,15.0
