State,County,CS,Good Days,Moderate Days,Unhealthy for Sensitive Groups Days,Unhealthy Days,Very Unhealthy Days,Hazardous Days,Max AQI,90th Percentile AQI,Median AQI
California,Napa,NapaCalifornia,0.7220952326611433,0.2646251107839822,0.00641152468674262,0.005952380952380952,0.0009157509157509159,0.0,249,61.166666666666664,40.833333333333336
California,Nevada,NevadaCalifornia,0.6339401234476244,0.26369828493137376,0.08590432217800281,0.016457269442999186,0.0,0.0,196,97.5,45.666666666666664
California,Orange,OrangeCalifornia,0.42036080544950966,0.5234935249644435,0.050668712727998604,0.005476956858048258,0.0,0.0,172,88.33333333333333,53.5
California,Placer,PlacerCalifornia,0.5285113656211792,0.38842727749083017,0.06799910172917135,0.012779150135988222,0.0022831050228310505,0.0,240,97.16666666666667,49.833333333333336
California,Riverside,RiversideCalifornia,0.12962547096838586,0.4888003094043965,0.2779748983207326,0.09264790278713476,0.008670808693265463,0.0022806098260847872,537,152.0,85.5
California,Sacramento,SacramentoCalifornia,0.4792187538987449,0.4345310277715398,0.07484342640417196,0.00912368690271228,0.0018264840182648401,0.00045662100456621014,314,97.16666666666667,51.666666666666664
California,San Benito,San BenitoCalifornia,0.8375190258751902,0.15244155001621876,0.010039424108590963,0.0,0.0,0.0,143,59.333333333333336,39.833333333333336
California,San Bernardino,San BernardinoCalifornia,0.10498789829578063,0.515732215485191,0.22410360056890488,0.1296204805748933,0.02555580507523018,0.0,233,167.16666666666666,83.0
California,San Diego,San DiegoCalifornia,0.22457144995882927,0.6640654240586871,0.10542954811986927,0.0059335778626144675,0.0,0.0,174,102.16666666666667,63.5
California,San Francisco,San FranciscoCalifornia,0.8155251141552511,0.17442922374429226,0.004566210045662101,0.00502283105022831,0.00045662100456621014,0.0,228,56.5,36.0
California,San Joaquin,San JoaquinCalifornia,0.456905456995284,0.46321830476333054,0.07074506574843427,0.00776130947925244,0.0009132420091324203,0.00045662100456621014,308,95.33333333333333,52.333333333333336
California,San Luis Obispo,San Luis ObispoCalifornia,0.48060109289617486,0.4974923272700053,0.021451206427626823,0.0004553734061930783,0.0,0.0,156,79.83333333333333,51.333333333333336
California,San Mateo,San MateoCalifornia,0.8510361784334387,0.1384602840082292,0.004567464498971348,0.005936073059360731,0.0,0.0,185,53.833333333333336,35.166666666666664
California,Santa Barbara,Santa BarbaraCalifornia,0.6891720937195899,0.29257803727823933,0.010947675724230858,0.0059335778626144675,0.0009132420091324203,0.0004553734061930783,315,65.83333333333333,45.0
California,Santa Clara,Santa ClaraCalifornia,0.6987474112333758,0.2788794071412531,0.015523866556878013,0.006849315068493151,0.0,0.0,194,68.16666666666667,42.166666666666664
California,Santa Cruz,Santa CruzCalifornia,0.8936310103051626,0.09449684357611599,0.009589041095890411,0.00228310502283105,0.0,0.0,170,52.833333333333336,34.666666666666664
California,Shasta,ShastaCalifornia,0.7680548803443482,0.20091235772237345,0.026923172892182545,0.00410958904109589,0.0,0.0,190,74.83333333333333,42.833333333333336
California,Siskiyou,SiskiyouCalifornia,0.8941718365456693,0.08001398201875694,0.012283020930565018,0.013531160505008575,0.0,0.0,196,60.0,33.833333333333336
California,Solano,SolanoCalifornia,0.7188312498440502,0.26518951019287873,0.008216682885445517,0.0073059360730593605,0.00045662100456621014,0.0,247,66.16666666666667,42.166666666666664
California,Sonoma,SonomaCalifornia,0.896826109738753,0.09449809117448911,0.00228310502283105,0.00547945205479452,0.0009132420091324203,0.0,226,50.5,35.333333333333336
