State,County,CS,GoodDays,ModerateDays,UnhealthyForSensitiveGroupsDays,UnhealthyDays,VeryUnhealthyDays,HazardousDays,AQI_Class_KMR,AQI_Class_KMN
Florida,Citrus,CitrusFlorida,0.879896968882765,0.108230985503675,0.0118720456135602,0,0,0,1,2
Florida,Collier,CollierFlorida,0.89764778572461,0.10235221427539,0,0,0,0,1,1
Florida,Columbia,ColumbiaFlorida,0.852259193432069,0.147276554014542,0.000464252553389044,0,0,0,1,1
Florida,Duval,DuvalFlorida,0.756626917698665,0.237888570734024,0.00502789056274428,0.00045662100456621,0,0,2,2
Florida,Escambia,EscambiaFlorida,0.823809167352846,0.172537864610625,0.00365296803652968,0,0,0,1,1
Florida,Flagler,FlaglerFlorida,0.961944006086364,0.0380559939136364,0,0,0,0,1,1
Florida,Hamilton,HamiltonFlorida,0.871240127494541,0.128759872505459,0,0,0,0,1,1
Florida,Highlands,HighlandsFlorida,0.955981145654362,0.0435440205374703,0.000474833808167142,0,0,0,1,1
Florida,Hillsborough,HillsboroughFlorida,0.701335969924562,0.284034275685971,0.0141743809832739,0.000455373406193078,0,0,2,2
Florida,Holmes,HolmesFlorida,0.84053332080355,0.15946667919645,0,0,0,0,1,1
Florida,Indian River,Indian RiverFlorida,0.930053636309909,0.0684487675975771,0.0014975960925141,0,0,0,1,1
Florida,Lake,LakeFlorida,0.917441014390974,0.0792617439629859,0.0032972416460396,0,0,0,1,1
Florida,Lee,LeeFlorida,0.881691957857158,0.116939426727516,0.0013686154153255,0,0,0,1,1
Florida,Leon,LeonFlorida,0.760521425520166,0.238558990512305,0.000462962962962963,0.00045662100456621,0,0,2,1
Florida,Liberty,LibertyFlorida,0.974000148083574,0.0259998519164259,0,0,0,0,1,1
Florida,Manatee,ManateeFlorida,0.919206776954363,0.0771402550091075,0.00365296803652968,0,0,0,1,1
Florida,Marion,MarionFlorida,0.868109743444723,0.130960049340916,0.00093020721436022,0,0,0,1,1
Florida,Martin,MartinFlorida,0.900436179981634,0.0981745773425412,0.00138924267582424,0,0,0,1,1
Florida,Miami-Dade,Miami-DadeFlorida,0.791290536336673,0.202230869546068,0.00647859411725906,0,0,0,2,2
Florida,Nassau,NassauFlorida,0.884421522567052,0.114172605293872,0.00140587213907643,0,0,0,1,1
Florida,Okaloosa,OkaloosaFlorida,0.937840917990683,0.0617012065514419,0.000457875457875458,0,0,0,1,1
Florida,Orange,OrangeFlorida,0.836138801246826,0.161117688573805,0.00228688917480259,0.00045662100456621,0,0,1,1
Florida,Osceola,OsceolaFlorida,0.931992166982427,0.0643448155313927,0.00366301748618063,0,0,0,1,1
Florida,Palm Beach,Palm BeachFlorida,0.815079679736109,0.181675353458441,0.00278071425206074,0.000464252553389044,0,0,2,1
Florida,Pasco,PascoFlorida,0.907920184678976,0.0892967244950023,0.00278309082602198,0,0,0,1,1
Florida,Pinellas,PinellasFlorida,0.829743992813833,0.169342765177034,0.00091324200913242,0,0,0,1,1
Florida,Polk,PolkFlorida,0.845719489981785,0.151084162986251,0.00319634703196347,0,0,0,1,1
Florida,Putnam,PutnamFlorida,0.996191629564006,0.00380837043599412,0,0,0,0,1,1
Florida,Santa Rosa,Santa RosaFlorida,0.839029137765944,0.159600999220357,0.00136986301369863,0,0,0,1,1
Florida,Sarasota,SarasotaFlorida,0.820598576906122,0.177562255158819,0.00183916793505835,0,0,0,1,1
Florida,Seminole,SeminoleFlorida,0.908584310183481,0.0891068596666698,0.00230883014984886,0,0,0,1,1
Florida,St. Lucie,St. LucieFlorida,0.954811179575113,0.0442342153773617,0.000954605047525402,0,0,0,1,1
Florida,Volusia,VolusiaFlorida,0.89025576087748,0.109287618117954,0.00045662100456621,0,0,0,1,1
Florida,Wakulla,WakullaFlorida,0.86743008346596,0.131072791624938,0.000487329434697856,0.00100979547440527,0,0,1,1
Georgia,Bibb,BibbGeorgia,0.739392918631634,0.255590488310003,0.00501659305836265,0,0,0,2,2
Georgia,Chatham,ChathamGeorgia,0.795511141053472,0.20175287571425,0.00227936222771166,0.00045662100456621,0,0,2,1
Georgia,Chattooga,ChattoogaGeorgia,0.926109613642064,0.0738903863579355,0,0,0,0,1,1
Georgia,Clarke,ClarkeGeorgia,0.777075431018926,0.219158121977591,0.00284563669040804,0.000920810313075506,0,0,2,1
Georgia,Cobb,CobbGeorgia,0.766253116117538,0.229706503217865,0.00356554685642983,0.000474833808167142,0,0,2,1
Georgia,Columbia,ColumbiaGeorgia,0.920484798857815,0.0788349290333417,0.000680272108843537,0,0,0,1,1
Georgia,Dawson,DawsonGeorgia,0.910472659347304,0.0833257191393747,0.00620162151332108,0,0,0,1,2
Georgia,DeKalb,DeKalbGeorgia,0.601152780896774,0.389269406392694,0.00866581829977294,0.000911994410759288,0,0,2,2
Georgia,Dougherty,DoughertyGeorgia,0.700670130880169,0.296537647771823,0.00232405655400011,0.000468164794007491,0,0,2,1
Georgia,Douglas,DouglasGeorgia,0.851812073278842,0.137190349757195,0.01031730485512,0.000680272108843537,0,0,1,2
Georgia,Floyd,FloydGeorgia,0.63708486164134,0.3620031439479,0.000911994410759288,0,0,0,2,1
Georgia,Fulton,FultonGeorgia,0.580425633951347,0.398120616439727,0.0196285131890342,0.00182523641989171,0,0,3,2
Georgia,Glynn,GlynnGeorgia,0.913311227782354,0.0857169549192983,0.000971817298347911,0,0,0,1,1
Georgia,Gwinnett,GwinnettGeorgia,0.722981673087486,0.269230044707871,0.00733166120007718,0.00045662100456621,0,0,2,2
Georgia,Henry,HenryGeorgia,0.791837815105891,0.193762657302239,0.0134680727791369,0.000931454812733352,0,0,2,2
