CS,SpectralClass
YellowstoneMontana,1
CassNebraska,6
DouglasNebraska,4
KnoxNebraska,6
LancasterNebraska,0
SarpyNebraska,0
Carson CityNevada,1
ChurchillNevada,4
ClarkNevada,5
DouglasNevada,6
ElkoNevada,5
LyonNevada,1
NyeNevada,0
WashoeNevada,1
White PineNevada,5
BelknapNew Hampshire,1
CheshireNew Hampshire,1
CoosNew Hampshire,1
GraftonNew Hampshire,1
HillsboroughNew Hampshire,0
MerrimackNew Hampshire,6
RockinghamNew Hampshire,0
AtlanticNew Jersey,0
BergenNew Jersey,3
CamdenNew Jersey,3
CumberlandNew Jersey,0
EssexNew Jersey,3
GloucesterNew Jersey,3
HudsonNew Jersey,3
HunterdonNew Jersey,3
MercerNew Jersey,3
MiddlesexNew Jersey,3
MonmouthNew Jersey,3
MorrisNew Jersey,4
OceanNew Jersey,3
PassaicNew Jersey,3
UnionNew Jersey,3
WarrenNew Jersey,4
BernalilloNew Mexico,1
Dona AnaNew Mexico,4
EddyNew Mexico,5
LeaNew Mexico,5
LunaNew Mexico,6
Rio ArribaNew Mexico,5
San JuanNew Mexico,0
SandovalNew Mexico,0
Santa FeNew Mexico,1
TaosNew Mexico,1
ValenciaNew Mexico,1
AlbanyNew York,3
ChautauquaNew York,1
DutchessNew York,3
ErieNew York,3
EssexNew York,6
FranklinNew York,1
HamiltonNew York,1
HerkimerNew York,1
JeffersonNew York,1
MonroeNew York,0
NassauNew York,3
NiagaraNew York,0
OneidaNew York,0
OnondagaNew York,0
OrangeNew York,3
OswegoNew York,5
PutnamNew York,4
RocklandNew York,3
SaratogaNew York,6
SteubenNew York,4
SuffolkNew York,3
TompkinsNew York,6
WayneNew York,1
WestchesterNew York,3
AveryNorth Carolina,1
BeaufortNorth Carolina,5
BuncombeNorth Carolina,6
CaldwellNorth Carolina,4
CarteretNorth Carolina,5
CaswellNorth Carolina,0
CatawbaNorth Carolina,4
CumberlandNorth Carolina,6
DavidsonNorth Carolina,0
DurhamNorth Carolina,4
EdgecombeNorth Carolina,0
ForsythNorth Carolina,4
GrahamNorth Carolina,5
GranvilleNorth Carolina,4
GuilfordNorth Carolina,0
HaywoodNorth Carolina,5
JohnstonNorth Carolina,0
LenoirNorth Carolina,4
LincolnNorth Carolina,6
MaconNorth Carolina,0
MartinNorth Carolina,0
MecklenburgNorth Carolina,4
MontgomeryNorth Carolina,4
New HanoverNorth Carolina,6
PersonNorth Carolina,6
PittNorth Carolina,6
RockinghamNorth Carolina,6
RowanNorth Carolina,4
SwainNorth Carolina,4
UnionNorth Carolina,4
WakeNorth Carolina,4
YanceyNorth Carolina,5
BillingsNorth Dakota,1
BurkeNorth Dakota,6
BurleighNorth Dakota,5
CassNorth Dakota,0
DunnNorth Dakota,4
McKenzieNorth Dakota,1
MercerNorth Dakota,1
OliverNorth Dakota,1
WilliamsNorth Dakota,1
AdamsOhio,5
AllenOhio,6
AshtabulaOhio,0
BelmontOhio,0
ButlerOhio,6
ClarkOhio,0
ClermontOhio,5
ClintonOhio,1
ColumbianaOhio,0
CuyahogaOhio,0
DelawareOhio,1
FayetteOhio,6
FranklinOhio,0
GeaugaOhio,6
GreeneOhio,5
HamiltonOhio,0
JeffersonOhio,1
KnoxOhio,1
LakeOhio,1
LawrenceOhio,1
LickingOhio,5
LorainOhio,6
LucasOhio,4
MadisonOhio,0
MahoningOhio,3
MedinaOhio,5
MiamiOhio,0
MontgomeryOhio,6
MorganOhio,1
NobleOhio,1
PortageOhio,6
PrebleOhio,1
SciotoOhio,1
StarkOhio,1
SummitOhio,6
TrumbullOhio,6
WarrenOhio,6
WashingtonOhio,6
WoodOhio,6
AdairOklahoma,0
CanadianOklahoma,5
ClevelandOklahoma,1
ComancheOklahoma,6
CreekOklahoma,1
DeweyOklahoma,1
KayOklahoma,1
MayesOklahoma,5
MuskogeeOklahoma,5
OklahomaOklahoma,6
OttawaOklahoma,1
PittsburgOklahoma,6
SequoyahOklahoma,1
TulsaOklahoma,4
BakerOregon,1
BentonOregon,1
ClackamasOregon,5
ColumbiaOregon,1
CrookOregon,1
DeschutesOregon,1
DouglasOregon,1
GrantOregon,1
HarneyOregon,1
JacksonOregon,1
JosephineOregon,1
KlamathOregon,5
LakeOregon,6
LaneOregon,1
LinnOregon,1
MarionOregon,6
MultnomahOregon,5
UmatillaOregon,4
UnionOregon,0
WallowaOregon,5
WascoOregon,6
WashingtonOregon,5
AdamsPennsylvania,6
AlleghenyPennsylvania,6
ArmstrongPennsylvania,6
BeaverPennsylvania,0
BerksPennsylvania,3
BlairPennsylvania,1
BradfordPennsylvania,1
BucksPennsylvania,3
CambriaPennsylvania,1
CentrePennsylvania,1
ChesterPennsylvania,0
ClearfieldPennsylvania,1
CumberlandPennsylvania,6
DauphinPennsylvania,0
DelawarePennsylvania,3
ElkPennsylvania,1
EriePennsylvania,6
FranklinPennsylvania,0
GreenePennsylvania,1
IndianaPennsylvania,6
LackawannaPennsylvania,3
LancasterPennsylvania,3
LawrencePennsylvania,1
LebanonPennsylvania,3
LehighPennsylvania,4
LuzernePennsylvania,4
LycomingPennsylvania,6
MercerPennsylvania,1
MonroePennsylvania,4
MontgomeryPennsylvania,3
NorthamptonPennsylvania,3
PhiladelphiaPennsylvania,3
SomersetPennsylvania,1
TiogaPennsylvania,1
WarrenPennsylvania,1
WashingtonPennsylvania,1
WestmorelandPennsylvania,6
YorkPennsylvania,6
KentRhode Island,3
ProvidenceRhode Island,0
WashingtonRhode Island,0
AikenSouth Carolina,5
AndersonSouth Carolina,6
BerkeleySouth Carolina,4
CharlestonSouth Carolina,4
ChesterfieldSouth Carolina,4
DarlingtonSouth Carolina,0
EdgefieldSouth Carolina,1
GreenvilleSouth Carolina,4
LexingtonSouth Carolina,0
OconeeSouth Carolina,6
PickensSouth Carolina,4
RichlandSouth Carolina,4
SpartanburgSouth Carolina,4
YorkSouth Carolina,6
BrookingsSouth Dakota,5
CodingtonSouth Dakota,5
CusterSouth Dakota,1
JacksonSouth Dakota,6
MeadeSouth Dakota,6
MinnehahaSouth Dakota,3
PenningtonSouth Dakota,0
UnionSouth Dakota,0
AndersonTennessee,5
BlountTennessee,1
ClaiborneTennessee,5
DavidsonTennessee,0
HamiltonTennessee,0
JeffersonTennessee,5
KnoxTennessee,5
LoudonTennessee,0
MontgomeryTennessee,5
SevierTennessee,0
ShelbyTennessee,4
SullivanTennessee,1
SumnerTennessee,0
WilliamsonTennessee,6
WilsonTennessee,4
BellTexas,6
BexarTexas,4
BrazoriaTexas,0
BrewsterTexas,0
CameronTexas,4
CollinTexas,5
DallasTexas,4
DentonTexas,5
EctorTexas,6
El PasoTexas,6
EllisTexas,4
GalvestonTexas,0
GreggTexas,6
HarrisTexas,4
HarrisonTexas,0
HidalgoTexas,6
HoodTexas,1
HuntTexas,4
JeffersonTexas,0
JohnsonTexas,5
KaufmanTexas,6
MaverickTexas,6
McLennanTexas,0
MontgomeryTexas,6
NavarroTexas,4
NuecesTexas,4
OrangeTexas,5
ParkerTexas,5
PolkTexas,5
PotterTexas,0
RandallTexas,0
RockwallTexas,5
SmithTexas,5
TarrantTexas,0
TravisTexas,4
VictoriaTexas,4
CacheUtah,1
CarbonUtah,1
DavisUtah,6
DuchesneUtah,1
Salt LakeUtah,4
San JuanUtah,0
TooeleUtah,6
UintahUtah,1
UtahUtah,0
BenningtonVermont,6
ChittendenVermont,0
RutlandVermont,1
AlbemarleVirginia,6
ArlingtonVirginia,0
CarolineVirginia,0
ChesterfieldVirginia,4
FairfaxVirginia,0
FauquierVirginia,4
FrederickVirginia,0
GilesVirginia,1
HanoverVirginia,0
HenricoVirginia,0
LoudounVirginia,4
MadisonVirginia,4
Prince EdwardVirginia,0
Prince WilliamVirginia,0
Richmond CityVirginia,5
RoanokeVirginia,5
RockbridgeVirginia,0
RockinghamVirginia,0
StaffordVirginia,5
WytheVirginia,4
AdamsWashington,0
AsotinWashington,1
BentonWashington,4
ChelanWashington,4
ClallamWashington,1
ClarkWashington,1
ColumbiaWashington,6
CowlitzWashington,5
FranklinWashington,4
GrantWashington,4
Grays HarborWashington,1
JeffersonWashington,6
KingWashington,0
KitsapWashington,1
KittitasWashington,6
LewisWashington,1
MasonWashington,1
OkanoganWashington,1
PierceWashington,6
SkagitWashington,4
SnohomishWashington,0
SpokaneWashington,5
StevensWashington,1
ThurstonWashington,1
Walla WallaWashington,6
WhatcomWashington,1
WhitmanWashington,1
YakimaWashington,0
BerkeleyWest Virginia,6
BrookeWest Virginia,1
CabellWest Virginia,1
GilmerWest Virginia,6
GreenbrierWest Virginia,6
HancockWest Virginia,1
KanawhaWest Virginia,6
MarshallWest Virginia,1
MonongaliaWest Virginia,1
OhioWest Virginia,5
TuckerWest Virginia,1
WoodWest Virginia,1
AshlandWisconsin,1
BrownWisconsin,3
ColumbiaWisconsin,5
DaneWisconsin,6
DodgeWisconsin,0
DoorWisconsin,6
Eau ClaireWisconsin,5
Fond du LacWisconsin,6
ForestWisconsin,0
GrantWisconsin,1
JeffersonWisconsin,6
KenoshaWisconsin,0
KewauneeWisconsin,1
La CrosseWisconsin,6
ManitowocWisconsin,5
MarathonWisconsin,5
MilwaukeeWisconsin,0
OneidaWisconsin,1
OutagamieWisconsin,6
OzaukeeWisconsin,5
RockWisconsin,0
SaukWisconsin,6
SheboyganWisconsin,5
TaylorWisconsin,5
VilasWisconsin,1
WalworthWisconsin,0
WaukeshaWisconsin,5
AlbanyWyoming,1
Big HornWyoming,5
CampbellWyoming,1
CarbonWyoming,5
ConverseWyoming,6
FremontWyoming,0
LaramieWyoming,6
LincolnWyoming,1
NatronaWyoming,1
SheridanWyoming,1
SubletteWyoming,1
SweetwaterWyoming,5
TetonWyoming,0
UintaWyoming,0
WestonWyoming,1
